	fit [tsysMeasure/tsysavg](dayNum)  = ratio + slope*dayNum 
rcv freq  cal# pol  ratio  slope     sigma calMeas calCmp %change diode
  9 5000.   0   A   1.007 -4.50e-05  0.005  26.93  26.741   -0.7   1
  9 5000.   0   B   1.041  1.54e-05  0.002  25.60  24.594   -3.9   2
  9 5000.   1   A   1.029  1.96e-05  0.003  26.07  25.332   -2.8   2
  9 5000.   1   B   0.983 -3.09e-05  0.003  29.62  30.146    1.8   1
  9 5000.   2   A   0.956  7.12e-06  0.002  26.93  28.167    4.6   1
  9 5000.   2   B   0.966 -1.76e-06  0.001  29.62  30.661    3.5   1
  9 5000.   3   A   1.026  1.74e-05  0.003  26.07  25.419   -2.5   2
  9 5000.   3   B   1.032  1.64e-05  0.002  25.60  24.797   -3.1   2
  -------------------------------------------------------------------
  9 5000.   4   A   0.928  7.11e-06  0.004   3.03   3.267    7.8   1
  9 5000.   4   B   0.999  7.25e-06  0.003   3.54   3.544    0.1   2
  9 5000.   5   A   0.999  1.27e-05  0.005   3.62   3.625    0.1   2
  9 5000.   5   B   0.951  4.89e-06  0.004   3.38   3.555    5.2   1
  9 5000.   6   A   0.933  2.01e-06  0.004   3.03   3.249    7.2   1
  9 5000.   6   B   0.952 -1.62e-06  0.004   3.38   3.550    5.0   1
  9 5000.   7   A   0.996  8.00e-06  0.004   3.62   3.633    0.4   2
  9 5000.   7   B   0.998  6.68e-06  0.004   3.54   3.546    0.2   2
 
	fit [tsysMeasure/tsysavg](dayNum)  = ratio + slope*dayNum 
rcv freq  cal# pol  ratio  slope     sigma calMeas calCmp %change diode
  5 1400.   0   A   0.989 -3.35e-07  0.004  10.58  10.695    1.1   1
  5 1400.   0   B   0.995  1.01e-05  0.005   7.76   7.800    0.5   2
  5 1400.   1   A   1.007 -9.47e-06  0.004  10.03   9.964   -0.7   2
  5 1400.   1   B   1.005 -6.55e-06  0.005   9.30   9.253   -0.5   1
  5 1400.   2   A   0.996  4.21e-06  0.004  10.58  10.622    0.4   1
  5 1400.   2   B   0.999  8.00e-06  0.004   9.30   9.309    0.1   1
  5 1400.   3   A   0.996  1.26e-05  0.004  10.03  10.068    0.4   2
  5 1400.   3   B   0.999  2.31e-06  0.005   7.76   7.764    0.1   2
  -------------------------------------------------------------------
  5 1400.   4   A   1.041 -7.43e-05  0.024   1.40   1.345   -3.9   1
  5 1400.   4   B   0.981  1.03e-05  0.028   1.10   1.121    1.9   2
  5 1400.   5   A   1.013 -2.06e-05  0.021   1.44   1.422   -1.3   2
  5 1400.   5   B   1.001 -3.70e-05  0.026   1.20   1.198   -0.1   1
  5 1400.   6   A   1.022  2.95e-05  0.023   1.40   1.370   -2.1   1
  5 1400.   6   B   1.007 -2.85e-06  0.025   1.20   1.192   -0.7   1
  5 1400.   7   A   1.003  1.85e-05  0.023   1.44   1.436   -0.3   2
  5 1400.   7   B   0.994 -5.51e-06  0.027   1.10   1.106    0.6   2
 
	fit [tsysMeasure/tsysavg](dayNum)  = ratio + slope*dayNum 
rcv freq  cal# pol  ratio  slope     sigma calMeas calCmp %change diode
  7 2380.   0   A   0.959  1.92e-04  0.007  13.23  13.791    4.2   1
  7 2380.   0   B   1.011 -3.60e-05  0.005  13.52  13.368   -1.1   2
  7 2380.   1   A   1.043 -1.65e-04  0.007  12.55  12.035   -4.1   2
  7 2380.   1   B   0.970  1.34e-04  0.005  14.51  14.951    3.0   1
  7 2380.   2   A   0.980  8.55e-05  0.006  13.23  13.498    2.0   1
  7 2380.   2   B   0.965  1.53e-04  0.006  14.51  15.038    3.6   1
  7 2380.   3   A   1.027 -1.02e-04  0.007  12.55  12.216   -2.7   2
  7 2380.   3   B   1.032 -1.21e-04  0.006  13.52  13.102   -3.1   2
  -------------------------------------------------------------------
  7 2380.   4   A   0.969  1.23e-04  0.019   1.76   1.816    3.2   1
  7 2380.   4   B   1.091 -5.04e-04  0.020   1.61   1.476   -8.3   2
  7 2380.   5   A   0.967 -7.00e-05  0.018   1.46   1.509    3.4   2
  7 2380.   5   B   1.014 -1.18e-04  0.015   1.91   1.884   -1.3   1
  7 2380.   6   A   0.962  1.29e-04  0.016   1.76   1.829    3.9   1
  7 2380.   6   B   0.895  4.14e-04  0.015   1.91   2.134   11.7   1
  7 2380.   7   A   0.960 -6.08e-06  0.022   1.46   1.521    4.2   2
  7 2380.   7   B   1.037 -2.69e-04  0.022   1.61   1.553   -3.6   2
 
^L
	fit [tsysMeasure/tsysavg](dayNum)  = ratio + slope*dayNum 
rcv freq  cal# pol  ratio  slope     sigma calMeas calCmp %change diode
  2  431.   0   A   1.005 -4.11e-05  0.011 103.00 102.498   -0.5   1
  2  431.   0   B   1.010 -7.86e-05  0.013  90.30  89.442   -0.9   2
  2  431.   1   A   1.015  1.51e-06  0.009 103.00 101.445   -1.5   2
  2  431.   1   B   1.001 -2.22e-05  0.009  98.40  98.262   -0.1   1
  2  431.   2   A   1.022 -4.44e-05  0.007 103.00 100.776   -2.2   1
  2  431.   2   B   0.937  3.10e-04  0.021  98.40 104.993    6.7   1
  2  431.   3   A   0.984  7.10e-05  0.008 103.00 104.633    1.6   2
  2  431.   3   B   1.066 -2.51e-04  0.018  90.30  84.688   -6.2   2
  -------------------------------------------------------------------
  2  431.   4   A   0.962 -2.11e-05  0.016  10.60  11.017    3.9   1
  2  431.   4   B   0.988 -1.72e-05  0.019  10.90  11.035    1.2   2
  2  431.   5   A   0.940 -5.46e-05  0.017  12.50  13.304    6.4   2
  2  431.   5   B   1.016 -8.39e-05  0.022  11.10  10.920   -1.6   1
  2  431.   6   A   0.932 -1.58e-04  0.019  10.60  11.368    7.2   1
  2  431.   6   B   0.943  1.43e-04  0.027  11.10  11.777    6.1   1
  2  431.   7   A   0.983 -3.27e-05  0.023  12.50  12.717    1.7   2
  2  431.   7   B   1.032 -2.76e-04  0.031  10.90  10.564   -3.1   2
 
